"Source:","C:\Users\d028312\OneDrive - SAP SE\Projekte\Frequency Counter\SchaltungKiCad\Frontplatte\Frontplatte.kicad_sch"
"Date:","07.03.2022 16:20:37"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","49"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100nF","Frontplatte-rescue:C-Device-Frontplatte-rescue","Capacitor_THT:C_Rect_L10.0mm_W4.0mm_P7.50mm_FKS3_FKP3",""
"","","D1","LED","Frontplatte-rescue:LED-Device-Frontplatte-rescue","LED_THT:LED_D5.0mm",""
"","","D2","LED","Frontplatte-rescue:LED-Device-Frontplatte-rescue","LED_THT:LED_D5.0mm",""
"","","D3","LED","Frontplatte-rescue:LED-Device-Frontplatte-rescue","LED_THT:LED_D5.0mm",""
"","","D4","LED","Frontplatte-rescue:LED-Device-Frontplatte-rescue","LED_THT:LED_D5.0mm",""
"","","D5","LED","Frontplatte-rescue:LED-Device-Frontplatte-rescue","LED_THT:LED_D5.0mm",""
"","","D6","LED","Frontplatte-rescue:LED-Device-Frontplatte-rescue","LED_THT:LED_D5.0mm",""
"","","D7","LED","Frontplatte-rescue:LED-Device-Frontplatte-rescue","LED_THT:LED_D5.0mm",""
"","","D8","LED","Frontplatte-rescue:LED-Device-Frontplatte-rescue","LED_THT:LED_D5.0mm",""
"","","D9","LED","Frontplatte-rescue:LED-Device-Frontplatte-rescue","LED_THT:LED_D5.0mm",""
"","","J1","Conn_01x04_Male","Frontplatte-rescue:Conn_01x04_Male-Connector-Frontplatte-rescue","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"","","J2","Conn_01x04_Male","Frontplatte-rescue:Conn_01x04_Male-Connector-Frontplatte-rescue","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"","","J3","Conn_01x04_Male","Frontplatte-rescue:Conn_01x04_Male-Connector-Frontplatte-rescue","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"","","J4","Conn_01x04_Male","Frontplatte-rescue:Conn_01x04_Male-Connector-Frontplatte-rescue","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"","","J5","Conn_01x04_Male","Frontplatte-rescue:Conn_01x04_Male-Connector-Frontplatte-rescue","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"","","R1","220","Frontplatte-rescue:R-Device-Frontplatte-rescue","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"","","R2","4,7k","Frontplatte-rescue:R-Device-Frontplatte-rescue","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal",""
"","","R3","220","Frontplatte-rescue:R-Device-Frontplatte-rescue","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"","","R4","4,7k","Frontplatte-rescue:R-Device-Frontplatte-rescue","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal",""
